t\x,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
0.096,1.09966,1.21533,1.34315,1.48442,1.64054,1.81307,2.00375,2.21448,2.44737,2.70475,2.98918
0.097,1.10076,1.21654,1.3445,1.4859,1.64218,1.81489,2.00576,2.2167,2.44982,2.70745,2.99217
0.098,1.10186,1.21776,1.34584,1.48739,1.64382,1.81671,2.00777,2.21892,2.45227,2.71016,2.99517
0.099,1.10296,1.21898,1.34719,1.48888,1.64547,1.81852,2.00977,2.22114,2.45472,2.71287,2.99816
0.1,1.10407,1.2202,1.34854,1.49037,1.64711,1.82034,2.01179,2.22336,2.45718,2.71559,3.00116
0.101,1.10517,1.22142,1.34989,1.49186,1.64876,1.82216,2.0138,2.22558,2.45964,2.7183,3.00417
0.102,1.10628,1.22264,1.35124,1.49335,1.65041,1.82399,2.01581,2.22781,2.4621,2.72102,3.00717
0.103,1.10738,1.22386,1.35259,1.49485,1.65206,1.82581,2.01783,2.23004,2.46456,2.72375,3.01018
0.104,1.10849,1.22509,1.35394,1.49634,1.65372,1.82764,2.01985,2.23227,2.46703,2.72647,3.01319
0.105,1.1096,1.22631,1.3553,1.49784,1.65537,1.82947,2.02187,2.23451,2.4695,2.7292,3.01621
0.106,1.11071,1.22754,1.35665,1.49934,1.65703,1.8313,2.02389,2.23674,2.47197,2.73193,3.01922
0.107,1.11182,1.22877,1.35801,1.50084,1.65869,1.83313,2.02592,2.23898,2.47444,2.73466,3.02225
0.108,1.11293,1.23,1.35937,1.50234,1.66035,1.83497,2.02795,2.24122,2.47692,2.7374,3.02527
0.109,1.11405,1.23123,1.36073,1.50384,1.66201,1.8368,2.02998,2.24346,2.4794,2.74014,3.0283
0.11,1.11516,1.23246,1.36209,1.50535,1.66367,1.83864,2.03201,2.24571,2.48188,2.74288,3.03133
0.111,1.11628,1.23369,1.36345,1.50686,1.66534,1.84048,2.03404,2.24795,2.48436,2.74562,3.03436
0.112,1.11739,1.23493,1.36482,1.50836,1.667,1.84232,2.03608,2.2502,2.48685,2.74837,3.03739
0.113,1.11851,1.23616,1.36618,1.50987,1.66867,1.84416,2.03811,2.25245,2.48933,2.75112,3.04043
0.114,1.11963,1.2374,1.36755,1.51138,1.67034,1.84601,2.04015,2.25471,2.49182,2.75387,3.04348
0.115,1.12075,1.23864,1.36892,1.5129,1.67201,1.84786,2.04219,2.25696,2.49432,2.75663,3.04652
0.116,1.12187,1.23988,1.37029,1.51441,1.67368,1.84971,2.04424,2.25922,2.49681,2.75939,3.04957
